id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"lame","lame","lame","MP3 encoding library (frontend)","","","1","1","","","","Section=sound; Version=3.100-6+b3","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libmp3lame0","libmp3lame0","libmp3lame0","MP3 encoding library","","","1","1","","","","Section=libs; Version=3.100-6+b3","","","","","","","",""
"libsndfile1","libsndfile1","libsndfile1","Library for reading/writing audio files","","","1","1","","","","Section=libs; Version=1.2.2-2+b1","","","","","","","",""
"libtinfo6","libtinfo6","libtinfo6","shared low-level terminfo library for terminal handling","","","1","1","","","","Section=libs; Version=6.5+20250216-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libflac14","libflac14","libflac14","Free Lossless Audio Codec - runtime C library","","","1","1","","","","Section=libs; Version=1.5.0+ds-2","","","","","","","",""
"libmpg123-0t64","libmpg123-0t64","libmpg123-0t64","MPEG layer 1/2/3 audio decoder (shared library)","","","1","1","","","","Section=libs; Version=1.32.10-1","","","","","","","",""
"libogg0","libogg0","libogg0","Ogg bitstream library","","","1","1","","","","Section=libs; Version=1.3.5-3+b2","","","","","","","",""
"libopus0","libopus0","libopus0","Opus codec runtime library","","","1","1","","","","Section=libs; Version=1.5.2-2","","","","","","","",""
"libvorbis0a","libvorbis0a","libvorbis0a","decoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","","","",""
"libvorbisenc2","libvorbisenc2","libvorbisenc2","encoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","","","",""
"","","","","","","","","","","","","lame","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","lame","libmp3lame0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","lame","libsndfile1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","lame","libtinfo6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libmp3lame0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libflac14","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libmp3lame0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libmpg123-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libogg0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libopus0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libvorbis0a","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsndfile1","libvorbisenc2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtinfo6","libc6","Depends","#333","1","Depends","arrow","{}"
