id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
cpp-13,cpp-13,cpp-13,GNU C preprocessor,,,1,1,,,,Section=interpreters; Version=13.3.0-16,,,,,,,
gcc-13-base,gcc-13-base,gcc-13-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=13.3.0-16,,,,,,,
cpp-13-x86-64-linux-gnu,cpp-13-x86-64-linux-gnu,cpp-13-x86-64-linux-gnu,GNU C preprocessor for x86_64-linux-gnu,,,1,1,,,,Section=devel; Version=13.3.0-16,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgmp10,libgmp10,libgmp10,Multiprecision arithmetic library,,,1,1,,,,Section=libs; Version=2:6.3.0+dfsg-3,,,,,,,
libisl23,libisl23,libisl23,manipulating sets and relations of integer points bounded by linear constraints,,,1,1,,,,Section=libs; Version=0.27-1,,,,,,,
libmpc3,libmpc3,libmpc3,multiple precision complex floating-point library,,,1,1,,,,Section=libs; Version=1.3.1-1+b3,,,,,,,
libmpfr6,libmpfr6,libmpfr6,multiple precision floating-point computation,,,1,1,,,,Section=libs; Version=4.2.2-1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
,,,,,,,,,,,,gcc-13-base,cpp-13,Depends,#333,1,Depends,{}
,,,,,,,,,,,,cpp-13-x86-64-linux-gnu,cpp-13,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-13-base,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgmp10,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libisl23,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmpc3,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmpfr6,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,cpp-13-x86-64-linux-gnu,Depends,#333,1,Depends,{}
