id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"librevenge-0.0-0","librevenge-0.0-0","librevenge-0.0-0","Base Library for writing document interface filters","","","1","1","","","","Section=libs; Version=0.0.5-3+b2","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"","","","","","","","","","","","","librevenge-0.0-0","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","librevenge-0.0-0","libgcc-s1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","librevenge-0.0-0","libstdc++6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","librevenge-0.0-0","zlib1g","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","libgcc-s1","gcc-14-base","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libgcc-s1","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libstdc++6","gcc-14-base","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libstdc++6","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libstdc++6","libgcc-s1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","zlib1g","libc6","Depends","#333","1","Depends","{}"
