id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libxt-dev,libxt-dev,libxt-dev,X11 toolkit intrinsics library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.2.1-1.2+b2,,,,,,,
libxt6t64,libxt6t64,libxt6t64,X11 toolkit intrinsics library,,,1,1,,,,Section=libs; Version=1:1.2.1-1.2+b2,,,,,,,
libx11-dev,libx11-dev,libx11-dev,X11 client-side library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.8.12-1,,,,,,,
x11proto-dev,x11proto-dev,x11proto-dev,X11 extension protocols and auxiliary headers,,,1,1,,,,Section=x11; Version=2024.1-1,,,,,,,
libsm-dev,libsm-dev,libsm-dev,X11 Session Management library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.2.6-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libice6,libice6,libice6,X11 Inter-Client Exchange library,,,1,1,,,,Section=libs; Version=2:1.1.1-1,,,,,,,
libsm6,libsm6,libsm6,X11 Session Management library,,,1,1,,,,Section=libs; Version=2:1.2.6-1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxau-dev,libxau-dev,libxau-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.0.11-1,,,,,,,
libxdmcp-dev,libxdmcp-dev,libxdmcp-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.1.5-1,,,,,,,
xtrans-dev,xtrans-dev,xtrans-dev,X transport library (development files),,,1,1,,,,Section=x11; Version=1.4.0-1,,,,,,,
libxcb1-dev,libxcb1-dev,libxcb1-dev,"X C Binding, development files",,,1,1,,,,Section=libdevel; Version=1.17.0-2+b1,,,,,,,
xorg-sgml-doctools,xorg-sgml-doctools,xorg-sgml-doctools,Common tools for building X.Org SGML documentation,,,1,1,,,,Section=x11; Version=1:1.11-1.1,,,,,,,
libice-dev,libice-dev,libice-dev,X11 Inter-Client Exchange library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.1.1-1,,,,,,,
uuid-dev,uuid-dev,uuid-dev,Universally Unique ID library - headers and static libraries,,,1,1,,,,Section=libdevel; Version=2.41-5,,,,,,,
,,,,,,,,,,,,libxt6t64,libxt-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-dev,libxt-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,libxt-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsm-dev,libxt-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxt6t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libice6,libxt6t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsm6,libxt6t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libxt6t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxau-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxdmcp-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,xtrans-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxcb1-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,xorg-sgml-doctools,x11proto-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsm6,libsm-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,libsm-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libice-dev,libsm-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,uuid-dev,libsm-dev,Depends,#333,1,Depends,{}
